"p_ix","prolific_id","condition","gender","age","ins_time","tut_time","trial_time","total_time","comprehension_score","tutorial_tries","tutorial_keys","c1t1","c1t2","c1t3","c2t1","c2t2","c2t3","test1","test2","test3","test4","test5","c1t1_tries","c1t2_tries","c1t3_tries","c2t1_tries","c2t2_tries","c2t3_tries","test1_tries","test2_tries","test3_tries","test4_tries","test5_tries","total","m_steps","m_steps_successes","m_steps_failures","n_add","n_delete","n_corner","n_bar","n_move","n_rotate","n_flip","n_reflect","comments","bonus","test_rr1","test_rr2","test_f1","test_f2","test_both"
65,"5f51947ba90f9b3ea1d2fe61","train_flower","Male","43",9.27,1.27,24.79,35.33,4,"1,1,1,1,3,1,1,1,1","2,4,2,2,17,3,11,4,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,1,4,2,2,10,2,4,2,8,10.4814814814815,13.5555555555556,8.94444444444444,0,5,30,6,90,23,2,100,"once I got the hang of it was easyreflect is your friendI tend to like these little games so yeah was fun",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
66,"606f1462c3fcfaeb5c52bec8","train_reflect","Female","32",7.42,0.89,30.58,38.9,5,"1,1,1,1,1,3,1,1,1","2,4,2,2,4,17,5,3,5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,7,1,0,0,0,1,4,2,1,1,8,14.3888888888889,12.125,16.2,9,21,9,20,114,26,1,41,"I had a lot of fun with the puzzles Once get used to the movement it becomes significantly easier to figure out I think I had one major hiccup where I had to retry quite a few times to learn the pattern after that I wasnt stuck again in the same way",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
67,"66c39523c807184f4582c50a","train_reflect","Female","38",9.8,2.71,72.31,84.82,4,"1,1,1,1,1,1,1,2,1","2,4,2,2,4,3,5,8,7",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,8,5,1,0,0,0,3,9,6,1,5,7,23.078947368421,18.8571428571429,24.0322580645161,30,40,24,27,410,116,9,200,"Enjoyed",1.4,TRUE,TRUE,TRUE,TRUE,FALSE
68,"60aff9a6354c706f21c27da1","train_flower","Female","40",40.67,17.27,27.14,85.08,5,"1,1,1,1,2,1,1,1,1","2,4,2,2,19,3,5,3,6",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,3,5,3,1,5,5,4,5,4,18.5806451612903,22.5,18,89,20,47,9,302,35,9,41,"I found it quite difficult but it was fun too",0.8,FALSE,TRUE,TRUE,FALSE,FALSE
69,"5f3013e31c8a690aacb02c31","train_reflect","Female","33",36.47,1.72,49.65,87.84,3,"1,1,1,1,1,1,1,2,1","2,4,2,2,4,3,5,7,7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,18.375,NA,18.375,50,34,124,40,307,47,29,76,"It was horrible During the demo phase it was not clear how the tiles would keep moving together I tried but it just seemed completely impossible Took about double the time as well",0,FALSE,FALSE,FALSE,FALSE,FALSE
70,"5cae3e6a47494e0018328cbb","train_reflect","Female","26",5.15,1.35,28.76,35.26,5,"1,1,1,1,2,1,1,1,1","2,4,3,2,22,3,5,3,13",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,5,3,0,0,0,3,5,1,1,5,6,26.6428571428571,22.8333333333333,27.6818181818182,32,48,19,28,383,65,15,142,"Was fun but also frustrating i found the key to a lot of them was a lot of reflecting and flipping",1.2,TRUE,TRUE,TRUE,TRUE,FALSE
71,"5eb53966bcc7ec02d9dab736","train_flower","Female","43",7.52,4.19,38.27,49.98,5,"1,1,1,1,1,1,1,1,2","2,4,2,2,4,3,5,3,35",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,2,6,1,6,2,5,2,2,6,22.8461538461538,20.6666666666667,23.5,7,55,42,24,135,41,29,242,"It was a very frustrating task  eventually I remembered the combination to create a full hexagon which helped a little but not enough to solve all the puzzles",1.2,FALSE,TRUE,TRUE,TRUE,TRUE
72,"677580b9fa6b77a8332d2237","train_flower","Female","41",22.04,2.41,15.32,39.77,5,"2,1,5,13,31,1,1,2,3","4,18,51,128,230,7,6,10,21",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,3,5,5,5,5,6,5,1,7.30769230769231,22,6.92105263157895,26,13,43,12,57,10,31,54,"Seriously I now have a migraine dont tell me it was ever possible especially because all the pieces move at the same time I really want to curse You guys are horrible",0.2,FALSE,FALSE,FALSE,FALSE,FALSE
73,"5e9ffa9ee172201b04f1a4c6","train_reflect","Female","43",8.18,12.5,24.1,44.78,4,"1,1,1,1,1,1,5,1,19","2,7,2,2,4,4,25,3,160",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,14.425,NA,14.425,12,13,68,59,245,76,18,48,"I found it incredibly difficult and to be honest one of the most frustrating things Ive ever done The trouble is when I laid down a second piece the whole shape moved",0,FALSE,FALSE,FALSE,FALSE,FALSE
74,"6709873df4fb8176818d08ed","train_reflect","Female","32",16.86,7.02,25.23,49.11,4,"2,1,1,1,3,1,1,1,1","17,8,3,3,89,3,5,3,28",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,1,1,0,0,0,1,6,1,1,1,7,22.875,20.5714285714286,24.6666666666667,25,26,9,18,165,58,4,47,"It was difficult at first but got easier with time",1.4,TRUE,FALSE,TRUE,TRUE,TRUE
75,"67df2438f087a74ea30f779b","train_flower","Female","34",14,13.86,21.14,49.01,4,"1,1,1,1,1,1,1,1,10","2,8,2,2,4,4,5,3,116",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,3,5,5,5,5,5,5,5,1,8.3421052631579,10,8.2972972972973,6,28,35,27,91,58,6,31,"it was difficult",0.2,FALSE,FALSE,FALSE,FALSE,FALSE
76,"6729578b15d6c664eed51bad","train_flower","Female","29",7.69,1.22,22.87,31.77,4,"1,1,1,1,4,1,3,2,2","2,4,3,2,29,3,22,5,16",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,5,1,1,6,10,5,5,2,4,23.5428571428571,14.5,24.7096774193548,8,55,130,113,181,25,6,289,"Difficult I didnt realise what the R button did until the end I think I wouldve performed better had I realised sooner",0.8,FALSE,FALSE,FALSE,FALSE,TRUE
77,"63d50bed33ba8cb1b9794938","train_reflect","Male","30",3.33,1.16,4.9,9.4,3,"1,2,1,1,1,1,1,1,2","2,20,2,7,4,3,5,3,9",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,6.55,NA,6.55,58,8,34,27,81,4,10,0,"It was insanely difficult at least for me",0,FALSE,FALSE,FALSE,FALSE,FALSE
78,"62b4403257f7d42730f83394","train_flower","Male","41",22.88,3.71,19.74,46.33,3,"1,6,7,1,2,2,14,1,12","2,36,22,2,7,6,73,3,50",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,5,5,5,5,5,5,5,0,13.075,NA,13.075,75,34,32,41,195,87,20,4,"Very tough I was close to one or two but it was very hard I tried my best and tried to retain my discipline but this was tough and frustrating to keep some of the grey blocks in symmetrical with the greens but then they would move or I would run out of moves ",0,FALSE,FALSE,FALSE,FALSE,FALSE
79,"5ea9a6a68db51d0dfd2edfe2","train_flower","Male","35",8.58,2.76,33.08,44.42,4,"1,1,1,1,1,1,1,1,1","2,4,2,2,4,3,5,3,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,4,1,1,6,4,4,2,1,8,23.2608695652174,23.125,23.3333333333333,14,16,51,9,198,62,13,157,"I enjoyed it more during the last two or three puzzles when I felt like I was getting the knack of it I found it useful to be careful about creating one shape then using the reflect and flip tools to fill in the rest of the pattern",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
80,"5a993b151eda410001365a23","train_reflect","Male","36",7.6,2.14,39.96,49.7,5,"3,1,1,1,1,1,1,1,1","35,4,2,2,4,3,5,3,5",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5,1,1,0,0,0,1,4,5,5,5,4,11.9259259259259,18.5,10.7826086956522,9,12,7,18,122,34,21,75,"",0.8,TRUE,TRUE,FALSE,FALSE,FALSE
